,avg_loss,rmse
0,220951.15148677124,470.08658
1,184044.86443455867,428.90576
2,161454.84242566142,401.83765
3,146643.67501756028,382.83856
4,134349.33645516273,366.5618
5,125350.43596347459,354.07123
6,117823.18332943105,343.2731
7,111105.80566612034,333.33676
8,104929.0264575041,323.95123
9,98818.8620931866,314.37305
10,93079.74338562398,305.11517
11,88312.85975181457,297.1988
12,83386.680402716,288.78885
13,79447.09904003746,281.88486
14,74938.06602669164,273.68674
15,70438.4734254273,265.4221
16,67015.85951767735,258.869
17,63639.26387262936,252.28908
18,60586.541793490986,246.15633
19,57306.305783188945,239.37347
20,54567.57855303208,233.60295
